lat,lon,dn,day,mon,year,h,sigma,zm,Bo,rho,dataset,stn,chlsur,tempsur,tz
46.94,-59.56,225,13,8,1982,51.25,15.11,21.25,0.014,0.99,82027,1,0.517,13.9,28
54.75,-55.87,228,16,8,1982,31.24,10.42,54.66,0.095,0.93,82027,-99,0.095,8,17
55.4,-57.42,229,17,8,1982,17.3,6.89,67.25,0.243,0.8,82027,-99,0.243,3.4,20
57.03,-59.91,230,18,8,1982,18.95,13.15,58.78,0.092,0.86,82027,-99,0.092,3,15
57.91,-60.93,230,18,8,1982,95.19,7.66,40.84,0.123,0.98,82027,-99,0.123,3.5,35
60.8,-64.32,231,19,8,1982,326.1,30.27,-7.88,0.547,0.89,82027,-99,4.702,1,30
55.79,-54.62,180,28,6,1984,53.31,4.68,42.49,0.437,0.91,84026,13,0.437,-0.2,40
55.66,-55.15,181,29,6,1984,99.67,19.77,49.14,0.082,0.96,84026,16,0.174,-0.8,50
55.77,-54.91,181,29,6,1984,674.77,33.22,5.44,0,1,84026,18,7.995,-0.3,35
55.84,-54.82,181,29,6,1984,91.16,7.04,27.68,0.183,0.97,84026,19,0.185,-0.4,15
53.02,-50.87,184,2,7,1984,15.04,6.33,37.62,0.17,0.85,84026,24,0.17,1,36
52.88,-51.25,184,2,7,1984,44.18,7.14,31.7,0.141,0.95,84026,25,0.141,1.2,35
54.43,-51.82,177,25,6,1984,2.82,12.91,21.99,0.224,0.28,84026,1,0.244,0.9,35
54.38,-55.99,179,27,6,1984,25.37,6.15,8.4,0.341,0.83,84026,8,0.989,-1.2,13
55.79,-54.62,180,28,6,1984,16.6,4.65,49.34,0.441,0.76,84026,13,0.441,-0.2,40
55.6,-55.24,181,29,6,1984,15.72,6.48,41.33,0.627,0.61,84026,15,0.627,-0.2,35
55.78,-54.91,181,29,6,1984,60.63,7.19,34.63,3.088,0.52,84026,18,3.088,-0.3,35
55.87,-54.71,181,29,6,1984,75.96,7.28,39,2.914,0.59,84026,20,2.914,-0.6,30
54.49,-56.35,185,3,7,1984,16.56,3.58,8.37,0.793,0.7,84026,28,0.913,-1.2,9
55.6,-55.24,181,29,6,1984,74.01,16.44,48.31,0.652,0.73,84026,15,0.676,-0.2,35
55.71,-55.03,181,29,6,1984,104,13.03,50.71,0,1,84026,17,0.002,-0.8,55
54.35,-56.35,179,27,6,1984,403.8,27.27,-17.66,0.592,0.91,84026,7,5.382,-1.2,13
46.3,-53.31,128,7,5,1988,2243.6,101.43,16,0,1,88014,1,8.715,0,50
49.9,-52.68,129,8,5,1988,274.42,7.42,12.22,0.672,0.96,88014,2,4.474,-1,40
53,-54.99,130,9,5,1988,435.5,17.07,13.06,2.19,0.82,88014,3,9.786,0,10
53.02,-55.01,130,9,5,1988,446.51,15.24,10.31,0.114,0.99,88014,3,9.412,0,10
52.96,-54.99,131,10,5,1988,471.12,15.95,13.24,0.167,0.99,88014,4,8.516,-0.8,25
52.98,-54.99,131,10,5,1988,469.15,17.6,6.11,0.338,0.97,88014,4,10.35,-0.8,25
54.06,-54.93,132,11,5,1988,413.83,17.75,8.22,0.3,0.97,88014,5,8.655,-0.4,20
54.07,-54.91,132,11,5,1988,422.63,14.96,8.09,0.183,0.98,88014,5,9.92,-0.4,20
53.87,-52.74,133,12,5,1988,928.09,20.06,-3.86,0.185,0.99,88014,6,18.304,-0.9,10
53.76,-53.08,134,13,5,1988,607.29,11.05,19.73,0.943,0.96,88014,7,5.396,-0.6,10
53.77,-53.03,134,13,5,1988,378.81,7.6,7.88,2.378,0.89,88014,7,13.995,-0.6,10
53.58,-53.17,135,14,5,1988,784.77,10.11,18.32,0.657,0.98,88014,8,6.653,-0.6,25
53.57,-53.17,135,14,5,1988,590.29,11.11,12.79,1.375,0.94,88014,8,12.301,-0.6,25
50.56,-57.84,137,16,5,1988,127.66,3.98,31.82,1.098,0.92,88014,9,1.098,0.2,20
50.57,-57.83,137,16,5,1988,197.23,7.37,20.55,0.695,0.94,88014,9,0.914,0.2,20
50.58,-57.8,138,17,5,1988,194.88,5.73,29.06,0.721,0.95,88014,10,0.721,-0.2,30
54.7,-50.98,184,3,7,1985,7.16,2.88,31.09,0.287,0.78,LABSEA85,5,0.287,2.5,25
54.11,-52.46,185,4,7,1985,26.2,4.85,31.8,0.818,0.72,LABSEA85,10,0.818,3.6,15
54.49,-55.31,187,6,7,1985,93.45,8.86,16.58,0.146,0.97,LABSEA85,27,0.877,-1,20
55.53,-55.13,188,7,7,1985,6.64,14.16,6.72,0.402,0.32,LABSEA85,35,0.569,2,40
53.17,-52.83,190,9,7,1985,41.86,2.22,26.86,0.641,0.92,LABSEA85,44,0.641,1,1
53.04,-50.5,191,10,7,1985,13.88,7.22,24.07,0.384,0.67,LABSEA85,46,0.387,6.3,1
51.97,-54.67,192,11,7,1985,32.77,2.1,25.25,0.75,0.89,LABSEA85,49,0.75,-1,25
43.91,-49.13,104,13,4,1984,1156,35.45,30.67,2.136,0.86,84010,10,11.084,0.7,10
43.95,-49.12,105,14,4,1984,113.21,10.46,30.34,11.581,0.27,84010,10,11.645,0.7,10
43.9,-49.17,106,15,4,1984,305.13,22.46,51.89,2.581,0.68,84010,10,2.957,0.7,10
43.83,-49.09,107,16,4,1984,72.52,2.9,20.86,9.342,0.52,84010,10,9.342,0,15
45.79,-54.54,248,5,9,1985,13.65,4.37,25.31,0.421,0.75,85026,2,0.421,10.9,5
45.47,-53.78,248,5,9,1985,18.49,10.07,26.94,0.216,0.77,85026,3,0.236,12.9,10
45.17,-53.08,249,6,9,1985,10.15,4.42,22.24,0.336,0.73,85026,4,0.336,12.8,15
44.8,-52.27,249,6,9,1985,9.99,3.41,25.76,0.27,0.81,85026,5,0.27,9.3,20
44.5,-51.45,250,7,9,1985,18.84,4.32,32.25,0.252,0.87,85026,6,0.252,13.7,1
44.63,-50,251,8,9,1985,7.29,3.05,24.85,0.389,0.71,85026,7B,0.389,11.4,1
43.87,-49.92,251,8,9,1985,17.44,3.2,23.18,0.714,0.75,85026,8,0.714,6.8,20
43.17,-48.38,252,9,9,1985,41.73,6.58,29.26,0.082,0.97,85026,10,0.082,5.1,30
43.72,-50.53,253,10,9,1985,16.21,3.94,32.43,0.362,0.82,85026,11,0.362,2.4,32
43.08,-51,253,10,9,1985,20.94,6.29,34.92,0.181,0.88,85026,13,0.181,4.9,35
44,-50.33,250,7,9,1985,33.17,18.56,15.21,0,1,85026,7A,0.51,13.6,10
43.58,-49.12,252,9,9,1985,74.57,4.25,18.15,0.39,0.95,85026,9,0.391,7.8,5
40.69,-47.14,117,27,4,1989,111.51,26.05,7.86,0,1,89003,42,1.632,14.7,20
40.64,-47.18,118,28,4,1989,113.05,22.33,15.3,0,1,89003,63,1.597,15,50
40.56,-47.17,119,29,4,1989,137.29,25.69,13.55,0,1,89003,84,1.855,15.4,1
