lat,lon,day,mon,year,pm,alpha,z,temp,chl,id,cruise
44.46,-57.01,15,5,1996,0.74,0.028,50,1.8,4.29,161406,JGOFS96
44.46,-57.01,15,5,1996,0.47,0.017,30,2.7,2.94,161408,JGOFS96
44.46,-57.01,15,5,1996,1.36,0.032,10,3.5,0.9,161410,JGOFS96
47.04,-52.54,16,5,1996,0.65,0.032,50,-0.2,2.52,161423,JGOFS96
47.04,-52.54,16,5,1996,1.17,0.031,30,1.4,0.49,161424,JGOFS96
47.04,-52.54,16,5,1996,1.28,0.038,10,1.4,0.46,161425,JGOFS96
50.33,-52.87,17,5,1996,0.61,0.029,50,-0.6,1.04,161437,JGOFS96
50.33,-52.87,17,5,1996,1.36,0.023,30,0.8,0.48,161438,JGOFS96
50.33,-52.87,17,5,1996,1.72,0.021,10,0.8,0.44,161439,JGOFS96
53.68,-55.55,18,5,1996,2.13,0.068,50,-1.4,7.91,161451,JGOFS96
53.68,-55.55,18,5,1996,0.76,0.012,30,-1.3,14.55,161452,JGOFS96
53.68,-55.55,18,5,1996,1.68,0.034,10,-1.3,16.23,161453,JGOFS96
54.22,-55.03,18,5,1996,1.32,0.034,10,-0.8,13.14,161468,JGOFS96
54.91,-54.1,19,5,1996,1.23,0.031,30,-1.6,5.74,161480,JGOFS96
54.91,-54.1,19,5,1996,1.48,0.03,20,-1.3,15.57,161481,JGOFS96
54.91,-54.1,19,5,1996,1.55,0.03,10,-1.3,20.13,161482,JGOFS96
55.11,-54.05,19,5,1996,0.99,0.026,10,-1.2,2.29,161494,JGOFS96
55.85,-53.39,20,5,1996,0.92,0.051,40,2.2,0.33,161509,JGOFS96
55.85,-53.39,20,5,1996,1.56,0.042,20,2,4.74,161510,JGOFS96
55.85,-53.39,20,5,1996,1.55,0.037,10,2,5.26,161511,JGOFS96
56.12,-53.13,20,5,1996,0.79,0.034,30,3.1,2.38,161525,JGOFS96
57.37,-51.85,22,5,1996,1.28,0.032,40,3.1,1.73,161537,JGOFS96
57.37,-51.85,22,5,1996,1.5,0.027,20,3.1,1.83,161538,JGOFS96
57.37,-51.85,22,5,1996,1.66,0.038,10,3.1,1.88,161539,JGOFS96
57.78,-51.34,22,5,1996,1.13,0.035,10,3.1,1.66,161551,JGOFS96
60.19,-48.76,24,5,1996,1.21,0.077,50,4,1.73,161564,JGOFS96
60.19,-48.76,24,5,1996,1.63,0.047,30,3.1,1.43,161565,JGOFS96
60.19,-48.76,24,5,1996,1.55,0.041,10,2.8,1.59,161566,JGOFS96
60.37,-48.45,24,5,1996,0.9,0.039,10,-0.1,5.5,161579,JGOFS96
59.06,-49.95,25,5,1996,1.79,0.069,50,3.9,1,161591,JGOFS96
59.06,-49.95,25,5,1996,1.55,0.042,30,3.9,1.33,161592,JGOFS96
59.06,-49.95,25,5,1996,2.73,0.041,10,4.2,1.4,161593,JGOFS96
58.63,-50.41,25,5,1996,1.51,0.055,40,4,1.12,161605,JGOFS96
55.11,-54.13,27,5,1996,1.23,0.045,30,0.1,0.92,161617,JGOFS96
55.11,-54.13,27,5,1996,2.03,0.048,20,0.3,1.99,161618,JGOFS96
55.11,-54.13,27,5,1996,1.88,0.043,10,0.4,4.94,161619,JGOFS96
54.76,-54.47,27,5,1996,1.68,0.04,30,-1,13.81,161631,JGOFS96
52.38,-54.84,29,5,1996,1.07,0.049,50,-0.3,3.87,161643,JGOFS96
52.38,-54.84,29,5,1996,1.45,0.03,30,-0.2,5.13,161644,JGOFS96
52.38,-54.84,29,5,1996,1.24,0.032,10,-0.1,2.09,161645,JGOFS96
51.59,-56.41,29,5,1996,1.17,0.04,30,0.6,2.48,161657,JGOFS96
49.45,-59.52,30,5,1996,1.03,0.067,30,1.3,0.69,161669,JGOFS96
49.45,-59.52,30,5,1996,1.21,0.03,20,2.2,1.21,161670,JGOFS96
49.45,-59.52,30,5,1996,0.43,0.009,10,3.8,1.65,161671,JGOFS96
48.62,-59.68,30,5,1996,3.06,0.035,10,4.2,0.63,161683,JGOFS96
48.28,-49.03,7,7,1995,2.12,0.033,1,5,0.19,160418,JGOFS95
48.28,-49.03,7,7,1995,1.4,0.023,35,3.3,0.66,160419,JGOFS95
48.65,-51.88,8,7,1995,2.48,0.033,1,7,0.45,160421,JGOFS95
48.65,-51.88,8,7,1995,1.66,0.047,15,5,0.29,160422,JGOFS95
51.38,-53.82,9,7,1995,0.84,0.124,20,2.9,0.32,160424,JGOFS95
51.38,-53.82,9,7,1995,0.86,0.019,45,-0.7,1.34,160425,JGOFS95
53.68,-55.55,10,7,1995,2.06,0.03,2,4,0.6,160426,JGOFS95
53.68,-55.55,10,7,1995,1.48,0.022,15,2.6,2.53,160427,JGOFS95
55.64,-53.6,11,7,1995,0.67,0.02,2,4.8,3.6,160432,JGOFS95
55.64,-53.6,11,7,1995,1.27,0.027,20,4.7,3.58,160433,JGOFS95
58.22,-50.88,12,7,1995,1.17,0.02,1,5.6,3.38,160438,JGOFS95
58.22,-50.88,12,7,1995,1.97,0.033,20,5.6,3.26,160439,JGOFS95
59.75,-49.19,13,7,1995,0.4,0.018,10,5,3.61,160443,JGOFS95
59.75,-49.19,13,7,1995,0.98,0.019,30,5,3.41,160444,JGOFS95
57.9,-48.27,14,7,1995,1.89,0.038,10,6,1.53,160446,JGOFS95
57.9,-48.27,14,7,1995,1.51,0.019,30,6,2.32,160447,JGOFS95
55.02,-48.24,15,7,1995,1.66,0.03,2,8.6,0.99,160450,JGOFS95
55.02,-48.24,15,7,1995,1.1,0.028,25,7.8,1.31,160451,JGOFS95
51.86,-48.23,16,7,1995,1.62,0.031,10,8.6,0.75,160454,JGOFS95
51.86,-48.23,16,7,1995,1.05,0.025,30,7.3,1.27,160455,JGOFS95
48.26,-48.23,17,7,1995,2.28,0.037,2,7.1,0.16,160458,JGOFS95
48.26,-48.23,17,7,1995,1.9,0.034,35,2.7,0.4,160459,JGOFS95
44.66,-48.23,18,7,1995,3.02,0.043,2,8.1,0.36,160462,JGOFS95
44.66,-48.23,18,7,1995,1.42,0.034,35,4.1,0.97,160463,JGOFS95
40.86,-48.23,19,7,1995,4.92,0.038,10,23.5,0.19,160465,JGOFS95
40.86,-48.23,19,7,1995,2.22,0.061,60,21.9,0.57,160466,JGOFS95
41.97,-57.25,21,7,1995,5.32,0.033,10,22.8,0.18,160469,JGOFS95
41.97,-57.25,21,7,1995,2.48,0.041,45,18,0.72,160470,JGOFS95
42.54,-61.4,22,7,1995,3.91,0.061,2,17.3,0.28,160473,JGOFS95
42.54,-61.4,22,7,1995,1.11,0.016,35,8.8,1.2,160474,JGOFS95
44.27,-63.32,23,7,1995,7.76,0.108,2,15.7,0.2,160476,JGOFS95
44.27,-63.32,23,7,1995,1.25,0.023,30,5.3,1.27,160477,JGOFS95
45.25,-59.08,25,5,1994,6.23,0.075,1,3.4,0.48,133512,JGOFS94
45.25,-59.08,25,5,1994,4.73,0.073,20,2.9,0.62,133513,JGOFS94
45.25,-59.08,25,5,1994,2.24,0.047,40,2.4,0.2,133514,JGOFS94
46.79,-52.49,26,5,1994,1.47,0.028,1,2,0.17,133526,JGOFS94
46.79,-52.49,26,5,1994,0.82,0.03,30,0.8,0.23,133527,JGOFS94
46.79,-52.49,26,5,1994,0.16,0.018,60,0,1.12,133528,JGOFS94
50.86,-51.45,27,5,1994,2.27,0.048,1,0.4,11.56,133540,JGOFS94
50.86,-51.45,27,5,1994,1.95,0.049,10,0.2,11.26,133541,JGOFS94
50.86,-51.45,27,5,1994,0.99,0.043,20,0.2,11.15,133542,JGOFS94
55.18,-51.04,28,5,1994,0.94,0.029,4,0.2,3.2,133543,JGOFS94
55.22,-51.08,28,5,1994,1.22,0.045,4,3.4,1,133544,JGOFS94
