Wavelength;Kw;e;X
400;0.01042;0.64358;0.11748
405;0.0089;0.64776;0.12066
410;0.00812;0.65175;0.12259
415;0.00765;0.65555;0.12326
420;0.00758;0.65917;0.12269
425;0.00768;0.66259;0.12086
430;0.0077;0.66583;0.11779
435;0.00792;0.66889;0.11372
440;0.00885;0.67175;0.10963
445;0.0099;0.67443;0.1056
450;0.01148;0.67692;0.10165
455;0.01182;0.67923;0.09776
460;0.01188;0.68134;0.09393
465;0.01211;0.68327;0.09018
470;0.01251;0.68501;0.08649
475;0.0132;0.68657;0.08287
480;0.01444;0.68794;0.07932
485;0.01526;0.68903;0.07584
490;0.0166;0.68955;0.07242
495;0.01885;0.68947;0.06907
500;0.02188;0.6888;0.06579
505;0.02701;0.68753;0.06257
510;0.03385;0.68567;0.05943
515;0.0409;0.6832;0.05635
520;0.04214;0.68015;0.05341
525;0.04287;0.67649;0.05072
530;0.04454;0.67224;0.04829
535;0.0463;0.66739;0.04611
540;0.04846;0.66195;0.04419
545;0.05212;0.65591;0.04253
550;0.05746;0.64927;0.04111
555;0.06053;0.64204;0.03996
560;0.0628;0.64;0.039
565;0.06507;0.63;0.0375
570;0.07034;0.623;0.036
575;0.07801;0.615;0.034
580;0.09038;0.61;0.033
585;0.11076;0.614;0.0328
590;0.13584;0.618;0.0325
595;0.16792;0.622;0.033
600;0.2231;0.626;0.034
605;0.25838;0.63;0.035
610;0.26506;0.634;0.036
615;0.26843;0.638;0.0375
620;0.27612;0.642;0.0385
625;0.284;0.647;0.04
630;0.29218;0.653;0.042
635;0.30176;0.658;0.043
640;0.31134;0.663;0.044
645;0.32553;0.667;0.0445
650;0.34052;0.672;0.045
655;0.3715;0.677;0.046
660;0.41048;0.682;0.0475
665;0.42947;0.687;0.049
670;0.43946;0.695;0.0515
675;0.44844;0.697;0.052
680;0.46543;0.693;0.0505
685;0.48642;0.665;0.044
690;0.5164;0.64;0.039
695;0.55939;0.62;0.034
700;0.62438;0.6;0.03
