Data for Gregg and Carder sky irradiance model as extended to 800 nm for Hydrolight 4.0
Extraterrestrial solar irrad Fobar (W/cm2 um) is from Neckel & Labs for 701-801 nm
Ozone abs coef a_O3 (1/cm) is linearly interpolated from 10 nm band averages for 701-801
Oxygen a_O2 and water vapor a_H2O abs coefs (1/cm) are from modtran
wavel Fobar a_O3 a_O2 a_H2O
350 0.0961 0.0094 0 0
351 0.0953 0.0115 0 0
352 0.0949 0.0092 0 0
353 0.1056 0.0059 0 0
354 0.1122 0.0037 0 0
355 0.1078 0.0024 0 0
356 0.1047 0.0016 0 0
357 0.0879 0.001 0 0
358 0.0752 7e-04 0 0
359 0.0919 5e-04 0 0
360 0.1062 3e-04 0 0
361 0.1054 2e-04 0 0
362 0.1047 2e-04 0 0
363 0.1024 2e-04 0 0
364 0.0998 1e-04 0 0
365 0.1108 1e-04 0 0
366 0.1259 1e-04 0 0
367 0.1221 1e-04 0 0
368 0.1156 1e-04 0 0
369 0.1184 1e-04 0 0
370 0.1197 1e-04 0 0
371 0.1162 1e-04 0 0
372 0.1144 1e-04 0 0
373 0.1027 1e-04 0 0
374 0.0953 1e-04 0 0
375 0.1004 1e-04 0 0
376 0.1004 1e-04 0 0
377 0.1317 1e-04 0 0
378 0.1317 1e-04 0 0
379 0.1141 1e-04 0 0
380 0.1139 0 0 0
381 0.1115 0 0 0
382 0.1083 0 0 0
383 0.0821 0 0 0
384 0.0858 0 0 0
385 0.1029 0 0 0
386 0.1026 0 0 0
387 0.0995 0 0 0
388 0.101 0 0 0
389 0.1145 0 0 0
390 0.1152 0 0 0
391 0.1263 0 0 0
392 0.1115 0 0 0
393 0.0733 0 0 0
394 0.0852 0 0 0
395 0.125 0 0 0
396 0.1071 0 0 0
397 0.0853 0 0 0
398 0.125 0 0 0
399 0.1575 0 0 0
400 0.1674 0 0 0
401 0.1721 0 0 0
402 0.1799 0 0 0
403 0.1719 0 0 0
404 0.1638 0 0 0
405 0.1651 0 0 0
406 0.1663 0 0 0
407 0.1681 0 0 0
408 0.1698 0 0 0
409 0.165 0 0 0
410 0.1621 0 0 0
411 0.174 0 0 0
412 0.1812 0 0 0
413 0.1755 0 0 0
414 0.174 0 0 0
415 0.1781 0 0 0
416 0.1791 0 0 0
417 0.1715 0 0 0
418 0.1701 0 0 0
419 0.1663 0 0 0
420 0.1724 0 0 0
421 0.1823 0 0 0
422 0.176 0 0 0
423 0.1657 0 0 0
424 0.1693 1e-04 0 0
425 0.1748 2e-04 0 0
426 0.1691 3e-04 0 0
427 0.1673 4e-04 0 0
428 0.1656 6e-04 0 0
429 0.165 8e-04 0 0
430 0.1407 0.001 0 0
431 0.1351 0.0011 0 0
432 0.1727 0.0013 0 0
433 0.1805 0.0015 0 0
434 0.169 0.0017 0 0
435 0.1767 0.0019 0 0
436 0.1835 0.002 0 0
437 0.1845 0.0022 0 0
438 0.1792 0.0024 0 0
439 0.1673 0.0026 0 0
440 0.1711 0.0027 0 0
441 0.1796 0.0028 0 0
442 0.1892 0.0029 0 0
443 0.1957 0.003 0 0
444 0.1961 0.003 0 0
445 0.1963 0.0029 0 0
446 0.1856 0.0029 0 0
447 0.1874 0.0028 0 0
448 0.2036 0.0028 0 0
449 0.2054 0.0028 0 0
450 0.2135 0.003 0 0
451 0.2111 0.0033 0 0
452 0.2004 0.0038 0 0
453 0.2007 0.0043 0 0
454 0.2024 0.0049 0 0
455 0.203 0.0054 0 0
456 0.2066 0.006 0 0
457 0.206 0.0066 0 0
458 0.2028 0.0072 0 0
459 0.2028 0.0077 0 0
460 0.2029 0.0082 0 0
461 0.2039 0.0086 0 0
462 0.2101 0.0087 0 0
463 0.2086 0.0087 0 0
464 0.1992 0.0085 0 0
465 0.1987 0.0082 0 0
466 0.1959 0.0078 0 0
467 0.1966 0.0075 0 0
468 0.201 0.0073 0 0
469 0.2001 0.0072 0 0
470 0.1946 0.0074 0 0
471 0.1957 0.0079 0 0
472 0.2022 0.0087 0 0
473 0.2025 0.0097 0 0
474 0.2038 0.0108 0 0
475 0.2029 0.0119 0 0
476 0.1982 0.0131 0 0
477 0.1996 0.0143 0 0
478 0.2063 0.0154 0 0
479 0.2064 0.0166 0 0
480 0.2067 0.0177 0 0
481 0.2065 0.0187 0 0
482 0.2054 0.0196 0 0
483 0.2047 0.0202 0 0
484 0.2011 0.0205 0 0
485 0.195 0.0203 0 0
486 0.1687 0.0197 0 0
487 0.1723 0.0191 0 0
488 0.1874 0.0185 0 0
489 0.1949 0.0182 0 0
490 0.1938 0.0183 0 0
491 0.19 0.0187 0 0
492 0.1909 0.0193 0 0
493 0.1941 0.0201 0 0
494 0.1954 0.0209 0 0
495 0.2003 0.0218 0 0
496 0.2003 0.0228 0 0
497 0.2003 0.0239 0 0
498 0.1973 0.025 0 0
499 0.1933 0.0263 0 0
500 0.1871 0.0279 0 0
501 0.1832 0.0297 0 0
502 0.189 0.0317 0 0
503 0.1928 0.0337 0 0
504 0.1925 0.0358 0 0
505 0.1924 0.0377 0 0
506 0.1956 0.0394 0 0
507 0.1977 0.0406 0 0
508 0.1953 0.0412 0 0
509 0.1941 0.0409 0 0
510 0.1939 0.0399 0 0
511 0.1939 0.0387 0 0
512 0.1913 0.0377 0 0
513 0.19 0.0371 0 0
514 0.1872 0.0373 0 0
515 0.1858 0.038 0 0
516 0.1744 0.0392 0 0
517 0.1688 0.0405 0 0
518 0.1725 0.0421 0 0
519 0.1743 0.0437 0 0
520 0.1828 0.0454 0 0
521 0.1862 0.0471 0 0
522 0.1891 0.0488 0 0
523 0.1908 0.0506 0 0
524 0.1922 0.0523 0 0
525 0.1873 0.0541 0 0
526 0.1843 0.0559 0 0
527 0.1834 0.0576 0 0
528 0.183 0.0594 0 0
529 0.1921 0.0611 0 0
530 0.1959 0.0628 0 0
531 0.1952 0.0645 0 0
532 0.1948 0.0662 0 0
533 0.1872 0.0677 0 0
534 0.1859 0.0691 0 0
535 0.1951 0.0703 0 0
536 0.1941 0.0711 0 0
537 0.1861 0.0715 0 0
538 0.1858 0.0717 0 0
539 0.1851 0.0718 0 0
540 0.184 0.0721 0 0
541 0.1819 0.0727 0 0
542 0.1847 0.0737 0 0
543 0.1875 0.0748 0 0
544 0.1893 0.0761 0 0
545 0.1911 0.0774 0 0
546 0.1889 0.0787 0 0
547 0.1867 0.0801 0 0
548 0.1875 0.0814 0 0
549 0.1883 0.0826 0 0
550 0.1878 0.0838 0 0
551 0.1874 0.0848 0 0
552 0.187 0.0858 0 0
553 0.1869 0.0867 0 0
554 0.1889 0.0876 0 0
555 0.1896 0.0885 0 0
556 0.184 0.0895 0 0
557 0.1826 0.0907 0 0
558 0.1817 0.0921 0 0
559 0.1815 0.0939 0 0
560 0.1823 0.0959 0 0
561 0.1824 0.098 0 0
562 0.186 0.1003 0 0
563 0.1868 0.1026 0 0
564 0.1848 0.1049 0 0
565 0.1844 0.1072 0 0
566 0.1844 0.1094 0 0.006
567 0.1844 0.1115 0 0.0141
568 0.1852 0.1135 0 0.0224
569 0.1853 0.1151 0 0.0297
570 0.1805 0.1164 0 0.0337
571 0.1799 0.1173 0 0.0322
572 0.1884 0.1181 0 0.0274
573 0.1894 0.1186 0 0.0215
574 0.1861 0.1191 0 0.0158
575 0.1857 0.1194 0 0.0116
576 0.1857 0.1195 0 0.0104
577 0.1857 0.1193 0 0.0106
578 0.1822 0.1187 0 0.0105
579 0.1823 0.1179 0 0.0082
580 0.1852 0.1169 0 2e-04
581 0.1853 0.1159 0 0
582 0.1866 0.1147 0 0
583 0.1866 0.1136 0 0
584 0.1861 0.1124 0 0
585 0.1859 0.1113 0 0.0026
586 0.181 0.1103 0 0.1233
587 0.1808 0.1093 0 0.2843
588 0.1765 0.1086 0 0.4539
589 0.1765 0.1082 0 0.6053
590 0.1761 0.1082 0 0.7
591 0.1766 0.1089 0 0.6971
592 0.1797 0.1102 0 0.6357
593 0.1797 0.1117 0 0.5493
594 0.1794 0.1134 0 0.4543
595 0.1798 0.1152 0 0.3613
596 0.1818 0.117 0 0.2779
597 0.181 0.1188 0 0.2019
598 0.1763 0.1206 0 0.1315
599 0.1761 0.1222 0 0.0692
600 0.1752 0.1236 0 0.0226
601 0.1747 0.1247 0 0.0218
602 0.1729 0.1253 0 0.0172
603 0.1737 0.1252 0 0.0111
604 0.1772 0.1246 0 5e-04
605 0.1768 0.1238 0 3e-04
606 0.1751 0.1227 0 0
607 0.1749 0.1215 0 0
608 0.1742 0.1203 0 0
609 0.1734 0.119 0 0
610 0.1726 0.1177 0 0
611 0.1735 0.1164 0 0
612 0.1744 0.115 0 0
613 0.1726 0.1136 0 0
614 0.1709 0.1123 0 0
615 0.1693 0.1109 0 0
616 0.1677 0.1096 0 0
617 0.1705 0.1082 0 0
618 0.1733 0.1068 0 0
619 0.1732 0.1054 0 0
620 0.1731 0.1041 0 0
621 0.1717 0.1027 0 0
622 0.1704 0.1013 0 0
623 0.1684 0.1 0 0
624 0.1666 0.0986 0 0
625 0.1669 0.0972 0 0
626 0.1671 0.0959 0.0021 9e-04
627 0.1689 0.0945 0.0049 0.0021
628 0.1701 0.0931 0.0078 0.0033
629 0.1674 0.0917 0.0103 0.0043
630 0.1656 0.0904 0.0114 0.0047
631 0.1655 0.089 0.0103 0.0042
632 0.1654 0.0876 0.0078 0.0031
633 0.1654 0.0863 0.0049 0.0018
634 0.1654 0.0849 0.0021 7e-04
635 0.1658 0.0835 0 0
636 0.1661 0.0822 0 1e-04
637 0.1662 0.0808 0 7e-04
638 0.1663 0.0794 0 0.0014
639 0.1643 0.078 0 0.0017
640 0.163 0.0767 0 0.0011
641 0.1622 0.0753 0 0
642 0.1616 0.0739 0 0
643 0.1624 0.0726 0 0
644 0.1629 0.0712 0 0
645 0.1619 0.0699 0 0.0111
646 0.1612 0.0685 0 0.0384
647 0.1611 0.0672 0 0.0743
648 0.161 0.0659 0 0.1122
649 0.1582 0.0647 0 0.1473
650 0.1564 0.0636 0 0.1728
651 0.1585 0.0625 0 0.1813
652 0.16 0.0615 0 0.1791
653 0.1599 0.0606 0 0.1714
654 0.1598 0.0597 0 0.1596
655 0.1462 0.0589 0 0.1422
656 0.1371 0.058 0 0.1169
657 0.1377 0.0572 0 0.0874
658 0.1415 0.0563 0 0.0571
659 0.146 0.0555 0 0.0291
660 0.1505 0.0547 0 0.008
661 0.1548 0.0538 0 0
662 0.1581 0.053 0 0
663 0.1584 0.0521 0 0
664 0.1576 0.0513 0 0
665 0.1566 0.0505 0 0.0011
666 0.1557 0.0496 0 0.0017
667 0.155 0.0488 0 0.0015
668 0.1543 0.0479 0 0.0011
669 0.1537 0.0471 0 5e-04
670 0.1531 0.0463 0 1e-04
671 0.1525 0.0454 0 0
672 0.1519 0.0446 0 0
673 0.1512 0.0437 0 0
674 0.1506 0.0429 0 0
675 0.15 0.0421 0 0
676 0.1494 0.0412 0 0
677 0.1488 0.0404 0 0
678 0.1481 0.0396 0 0
679 0.1476 0.0387 0 0
680 0.1472 0.0379 0 4e-04
681 0.1469 0.037 0 6e-04
682 0.1466 0.0362 0 8e-04
683 0.1463 0.0354 0 0.001
684 0.146 0.0345 0 0.0014
685 0.1457 0.0337 0 0.0017
686 0.1454 0.0328 0.0672 0.0016
687 0.145 0.032 0.81 0.0015
688 0.1447 0.0312 0.65 0.0014
689 0.1444 0.0303 0.5052 0.0013
690 0.1441 0.0295 0.3604 0.0013
691 0.1438 0.0287 0.325 0.0842
692 0.1435 0.0278 0.248 0.1961
693 0.1432 0.027 0.1566 0.3173
694 0.1429 0.0262 0.0678 0.4341
695 0.1426 0.0254 8e-04 0.5299
696 0.1423 0.0245 0 0.5878
697 0.142 0.0238 0 0.6207
698 0.1417 0.023 0 0.6373
699 0.1414 0.0223 0 0.6359
700 0.1411 0.0216 0 0.602
701 0.139 0.0218 0 0.9455
702 0.139 0.0213 0 0.871
703 0.1392 0.0209 0 0.5273
704 0.1392 0.0205 0 0.3023
705 0.1419 0.0201 0 0.4705
706 0.1419 0.0196 0 0.5204
707 0.1404 0.0192 0 0.4462
708 0.1404 0.0188 0 0.3871
709 0.1388 0.0183 0 0.2604
710 0.1388 0.0179 0 0.3357
711 0.1389 0.0176 0 0.2872
712 0.1389 0.0173 0 0.1677
713 0.1377 0.0169 0 0.2147
714 0.1377 0.0166 0 0.279
715 0.137 0.0163 0 0.4151
716 0.137 0.016 0 0.7285
717 0.1357 0.0157 0 2.4542
718 0.1357 0.0153 0 4.368
719 0.1331 0.015 0 5.3536
720 0.1331 0.0147 0 6.1262
721 0.1334 0.0144 0 3.4151
722 0.1334 0.0141 0 1.0954
723 0.1351 0.0138 0 1.6687
724 0.1351 0.0135 0 3.4132
725 0.1353 0.0132 0 3.3999
726 0.1353 0.0129 0 3.3512
727 0.1349 0.0126 0 3.4153
728 0.1349 0.0123 0 3.3778
729 0.1322 0.012 0 2.6346
730 0.1322 0.0117 0 2.9591
731 0.1329 0.0115 0 2.8392
732 0.1329 0.0114 0 1.8086
733 0.1321 0.0112 0 0.8176
